id,park_name,address,park_type,latitude,longitude,area,size,size_rank
422,湘南鷹取都市緑地,神奈川県横須賀市湘南鷹取6-77-176,その他,35.31524,139.61441,追浜エリア,2207,中
423,森崎３丁目第２公園,神奈川県横須賀市森崎3-307-108,街区公園,35.24579,139.67792,衣笠エリア,1762,中
424,森崎３丁目第３公園,神奈川県横須賀市森崎3-335-4,街区公園,35.24579,139.67792,衣笠エリア,625,小
425,西浦賀緑地,神奈川県横須賀市西浦賀5-60-1,その他,35.23571,139.71852,浦賀エリア,6604,中
426,船越８丁目第４公園,神奈川県横須賀市船越町8-10-73,街区公園,35.30597,139.63217,田浦エリア,497,小
427,池田１丁目緑地,神奈川県横須賀市池田町1-51,その他,35.25447,139.6946,大津エリア,4030,中
428,池田５丁目第２公園,神奈川県横須賀市池田町5-58-50,街区公園,35.24602,139.68867,大津エリア,3143,中
429,池田緑地,神奈川県横須賀市池田町1-23,その他,35.25567,139.69633,大津エリア,6596,中
430,長沢３丁目公園,神奈川県横須賀市長沢3-1857-27,街区公園,35.21173,139.68239,北下浦エリア,1384,中
431,追浜東町１丁目第５公園,神奈川県横須賀市追浜東町1-28-85,街区公園,35.30905,139.62912,追浜エリア,7091,中
432,追浜東町２丁目公園,神奈川県横須賀市追浜東町2-3-24,街区公園,35.31191,139.63043,追浜エリア,2263,中
433,東浦賀２丁目第２公園,神奈川県横須賀市東浦賀2-67-27,街区公園,35.24263,139.72346,浦賀エリア,450,小
434,破崎緑地,神奈川県横須賀市走水2-2-ｲ,その他,35.26522,139.72913,大津エリア,4775,中
435,馬堀海岸４丁目さんかく公園,神奈川県横須賀市馬堀海岸4-1-8,街区公園,35.26065,139.7124,大津エリア,1421,中
436,林４丁目公園,神奈川県横須賀市林4-781-1,街区公園,35.21417,139.63866,西エリア,2522,中
437,根岸１丁目公園,神奈川県横須賀市根岸町1-9-20,街区公園,35.25134,139.68585,大津エリア,1251,中
